Ticker,Name,Sector,Price,Dividend Yield,1-Year Dividend Growth,5-Year Dividend Growth (Annualized),Dividends Per Share (TTM),Market Cap ($M),Trailing P/E Ratio,Payout Ratio,Beta,52-Week High,52-Week Low
DYN,Dyne Therapeutics Inc,N/A,"1,050.0%",0,N/A,N/A,$0.00,$612.26,0,N/A,,$15.63,6.36
DZSI,DZS Inc,Technology,390.0%,0,N/A,N/A,$0.00,$121.52,N/A,0.0%,,$19.66,3.26
EAF,GrafTech International Ltd.,Industrials,466.0%,0.00857180739,0.0%,-34.8%,$0.04,"$1,196.25",5,4.1%,,$7.90,3.75
EAT,"Brinker International, Inc.",Consumer Cyclical,"3,405.0%",0,N/A,N/A,$0.00,"$1,508.31",17,0.0%,,$42.12,21.47
EB,Eventbrite Inc,Technology,870.0%,0,N/A,N/A,$0.00,$716.88,N/A,0.0%,,$11.77,5.3
EBC,Eastern Bankshares Inc.,N/A,"1,158.0%",0.03391622975,N/A,N/A,$0.39,"$2,041.88",N/A,N/A,0.8,$20.90,9.75
EBF,Ennis Inc.,Industrials,"1,994.0%",0.05015045135,0.0%,2.1%,$0.98,$515.51,11,54.0%,,$22.94,18.28
EBIX,Ebix Inc.,Technology,"2,285.0%",0.006551823719,N/A,N/A,$0.15,$706.10,13,8.8%,,$30.32,11.75
EBS,Emergent Biosolutions Inc,Healthcare,932.0%,0,N/A,N/A,$0.00,$470.17,N/A,0.0%,,$36.14,7.74
EBTC,"Enterprise Bancorp, Inc.",Financial Services,"2,900.0%",0.03172413793,N/A,N/A,$0.86,$354.44,0,N/A,0.8,$36.15,25.83
ECPG,"Encore Capital Group, Inc.",Financial Services,"4,691.0%",0,N/A,N/A,$0.00,"$1,101.53",29,0.0%,,$72.73,42.5
ECVT,Ecovyst Inc,N/A,"1,028.0%",0,N/A,N/A,$0.00,"$1,235.26",19,0.0%,,$11.75,8.2
EDIT,Editas Medicine Inc,Healthcare,807.0%,0,N/A,N/A,$0.00,$557.04,N/A,0.0%,,$19.97,6.33
EE,Excelerate Energy Inc,Utilities,"2,001.0%",0.0049889924,N/A,N/A,$0.10,$525.35,84,41.8%,,$31.06,18.23
EFC,Ellington Financial Inc,Financial Services,"1,330.0%",0.1353383459,0.0%,0.0%,$1.71,$893.25,N/A,N/A,,$14.76,9.96
EFSC,Enterprise Financial Services Corp.,Financial Services,"3,897.0%",0.0245836675,13.6%,15.8%,$0.96,"$1,454.06",7,17.3%,0.9,$55.40,35.74
EGAN,eGain Corp,Technology,723.0%,0,N/A,N/A,$0.00,$230.41,N/A,0.0%,,$10.55,6.5
EGBN,Eagle Bancorp Inc (MD),Financial Services,"2,113.0%",0.08367543039,N/A,N/A,$1.77,$649.04,5,47.1%,,$50.22,16.72
EGHT,8X8 Inc.,Technology,366.0%,0,N/A,N/A,$0.00,$425.89,N/A,0.0%,,$6.49,2.5
EGIO,Edgio Inc,N/A,64.2%,0,N/A,N/A,$0.00,$142.26,N/A,0.0%,,$3.88,0.45
EGLE,Eagle Bulk Shipping Inc,Industrials,"4,837.0%",0.0144426185,N/A,N/A,$0.70,$663.24,3,5.5%,,$66.13,37.78
EGRX,Eagle Pharmaceuticals Inc,Healthcare,"2,057.0%",0,N/A,N/A,$0.00,$269.29,N/A,0.0%,,$47.71,17.68
EGY,"VAALCO Energy, Inc.",Energy,371.0%,0.05036869643,N/A,N/A,$0.19,$396.13,9,36.1%,,$8.10,3.46
EHTH,eHealth Inc,Financial Services,840.0%,0,N/A,N/A,$0.00,$232.76,N/A,0.0%,,$11.07,2.67
EIG,Employers Holdings Inc,Financial Services,"3,671.0%",0.02821644629,7.7%,4.9%,$1.04,$986.65,13,38.4%,,$45.51,31.09
EIGR,Eiger BioPharmaceuticals Inc,Healthcare,85.9%,0,N/A,N/A,$0.00,$38.05,0,N/A,,$9.89,0.7533
ELF,e.l.f. Beauty Inc,Consumer Defensive,"10,845.0%",0,N/A,N/A,$0.00,"$5,845.46",95,0.0%,,$113.38,27.93
ELME,Elme Communities,N/A,"1,580.0%",0.0439413386,N/A,N/A,$0.69,"$1,386.00",N/A,N/A,,$22.26,14.78
EMBC,Embecta Corp,N/A,"2,397.0%",0.02473688318,N/A,N/A,$0.59,"$1,373.33",0,N/A,1.0,$35.87,21.96
EME,"Emcor Group, Inc.",Industrials,"17,555.0%",0.003469484317,38.5%,17.6%,$0.61,"$8,371.98",19,6.7%,,$179.26,98.02
ENFN,Enfusion Inc,N/A,921.0%,0,N/A,N/A,$0.00,$691.56,0,N/A,,$16.76,7.37
ENOB,Enochian Biosciences Inc,Healthcare,53.1%,0,N/A,N/A,$0.00,$30.95,0,N/A,,$3.55,0.531
ENR,Energizer Holdings Inc,Industrials,"3,212.0%",0.03696519298,0.0%,0.7%,$1.19,"$2,295.83",N/A,N/A,,$37.25,24.39
ENS,Enersys,Industrials,"10,239.0%",0.006816918935,0.0%,0.0%,$0.70,"$4,193.84",24,16.4%,,$107.44,55.11
ENSG,Ensign Group Inc,Healthcare,"9,091.0%",0.0025299747,4.5%,5.0%,$0.22,"$5,089.58",22,5.5%,,$102.26,71.58
ENTA,Enanta Pharmaceuticals Inc,Healthcare,"2,224.0%",0,N/A,N/A,$0.00,$468.27,N/A,0.0%,,$76.36,21.45
ENV,Envestnet Inc.,Technology,"5,458.0%",0,N/A,N/A,$0.00,"$2,969.37",N/A,0.0%,,$69.22,41.72
ENVA,Enova International Inc.,Financial Services,"5,193.0%",0,N/A,N/A,$0.00,"$1,620.22",8,0.0%,,$55.54,27.98
ENVX,Enovix Corporation,N/A,"1,379.0%",0,N/A,N/A,$0.00,"$2,181.03",0,N/A,,$26.30,6.5
EOLS,Evolus Inc,Healthcare,781.0%,0,N/A,N/A,$0.00,$444.57,N/A,0.0%,,$14.29,6.51
EP,Empire Petroleum Corporation,N/A,900.0%,0,N/A,N/A,$0.00,$198.94,0,N/A,,$16.95,8
EPAC,Enerpac Tool Group Corp,Industrials,"2,572.0%",0.001555209919,N/A,N/A,$0.04,"$1,470.67",62,9.9%,,$28.97,16.06
EPC,Edgewell Personal Care Co,Consumer Defensive,"4,235.0%",0.01409114411,N/A,N/A,$0.60,"$2,168.32",23,32.8%,,$45.96,33.16
EPRT,Essential Properties Realty Trust Inc,Real Estate,"2,291.0%",0.04888694893,N/A,N/A,$1.07,"$3,409.88",23,100.1%,,$26.13,18.44
EQBK,Equity Bancshares Inc,Financial Services,"2,434.0%",0,N/A,N/A,$0.00,$376.81,0,N/A,,$37.77,20.5
EQC,Equity Commonwealth,Real Estate,"2,027.0%",0,N/A,N/A,$0.00,"$2,223.65",44,0.0%,,$22.89,19.41
EQRX,EQRx Inc,N/A,189.0%,0,N/A,N/A,$0.00,$921.11,0,N/A,,$6.05,1.58
ERAS,Erasca Inc,N/A,268.0%,0,N/A,N/A,$0.00,$404.03,0,N/A,,$10.74,2.49
ERII,Energy Recovery Inc,Industrials,"2,679.0%",0,N/A,N/A,$0.00,"$1,509.55",153,0.0%,,$27.66,17.32
ESE,"Esco Technologies, Inc.",Technology,"9,880.0%",0.003234415853,0.0%,0.0%,$0.32,"$2,544.90",29,9.6%,,$101.43,63.75
ESGR,Enstar Group Limited,Financial Services,"25,121.0%",0,N/A,N/A,$0.00,"$4,026.45",N/A,0.0%,,$271.39,169.04
ESMT,Engagesmart Inc,N/A,"1,775.0%",0,N/A,N/A,$0.00,"$2,958.93",0,N/A,,$22.65,15.01
ESNT,Essent Group Ltd,Financial Services,"4,442.0%",0.0212126417,N/A,N/A,$0.94,"$4,764.43",7,13.9%,,$47.48,33.68
ESPR,Esperion Therapeutics Inc.,Healthcare,133.0%,0,N/A,N/A,$0.00,$125.97,0,N/A,,$8.87,1.12
ESQ,Esquire Financial Holdings Inc,Financial Services,"4,500.0%",0.00916765459,N/A,N/A,$0.41,$368.57,0,N/A,0.7,$47.95,32.01
ESRT,Empire State Realty Trust Inc,Real Estate,668.0%,0.02095808383,N/A,N/A,$0.14,"$1,064.80",20,68.6%,,$8.55,5.36
ESTE,Earthstone Energy Inc,Energy,"1,305.0%",0,N/A,N/A,$0.00,"$1,385.88",0,N/A,,$17.54,10.65
ETD,"Ethan Allen Interiors, Inc.",N/A,"2,751.0%",0.05234460196,-28.0%,13.6%,$1.30,$697.56,6,29.6%,,$31.03,18.68
ETRN,Equitrans Midstream Corporation,Energy,904.0%,0.063931724,N/A,N/A,$0.58,"$3,915.97",N/A,N/A,,$9.85,4.46
ETWO,E2open Parent Holdings Inc,N/A,526.0%,0,N/A,N/A,$0.00,"$1,591.03",0,N/A,,$8.48,3.92
EVBG,Everbridge Inc,Technology,"2,644.0%",0,N/A,N/A,$0.00,"$1,077.78",N/A,0.0%,,$42.90,22.5
EVC,Entravision Communications Corp.,Communication Services,411.0%,0.0361054344,100.0%,0.0%,$0.15,$322.05,18,71.5%,,$7.19,3.87
EVCM,EverCommerce Inc,N/A,"1,116.0%",0,N/A,N/A,$0.00,"$2,097.35",0,N/A,,$13.47,5.87
EVER,EverQuote Inc,Communication Services,650.0%,0,N/A,N/A,$0.00,$178.00,0,N/A,,$18.86,5.23
EVGO,EVgo Inc,N/A,368.0%,0,N/A,N/A,$0.00,$267.31,0,N/A,,$12.65,3.45
EVH,Evolent Health Inc,Healthcare,"2,805.0%",0,N/A,N/A,$0.00,"$3,160.33",N/A,0.0%,,$39.78,21.83
EVLV,Evolv Technologies Holdings Inc,N/A,594.0%,0,N/A,N/A,$0.00,$881.67,0,N/A,,$6.54,1.98
EVRI,Everi Holdings Inc,Consumer Cyclical,"1,410.0%",0,N/A,N/A,$0.00,"$1,255.50",11,0.0%,,$21.11,13.52
EVTC,Evertec Inc,Technology,"3,507.0%",0.005690787933,N/A,N/A,$0.20,"$2,282.36",10,5.9%,,$40.08,30.09
EWCZ,European Wax Center Inc,N/A,"1,800.0%",0,N/A,N/A,$0.00,$906.73,0,N/A,,$23.52,12.02
EWTX,Edgewise Therapeutics Inc,N/A,760.0%,0,N/A,N/A,$0.00,$480.92,0,N/A,,$14.33,5.53
EXLS,Exlservice Hldgs Inc,Technology,"14,700.0%",0,N/A,N/A,$0.00,"$4,887.27",31,0.0%,,$191.18,138.83
EXPI,eXp World Holdings Inc,Real Estate,"1,844.0%",0.009665572415,N/A,N/A,$0.18,"$2,829.48",353,346.8%,2.0,$21.61,9.85
EXPO,Exponent Inc.,Industrials,"9,416.0%",0.01104502974,8.3%,14.9%,$0.99,"$4,783.33",47,50.7%,0.9,$111.86,84.81
EXPR,Express Inc.,Consumer Cyclical,58.9%,0,N/A,N/A,$0.00,$43.90,0,0.0%,,$2.70,0.55
EXTR,Extreme Networks Inc.,Technology,"2,330.0%",0,N/A,N/A,$0.00,"$3,005.64",52,0.0%,,$25.13,8.58
EYE,National Vision Holdings Inc,Consumer Cyclical,"2,392.0%",0,N/A,N/A,$0.00,"$1,867.83",62,0.0%,,$43.82,17.25
EYPT,EyePoint Pharmaceuticals Inc,Healthcare,677.0%,0,N/A,N/A,$0.00,$232.22,0,N/A,,$11.44,2.19
EZPW,"EZCorp, Inc.",Financial Services,868.0%,0,N/A,N/A,$0.00,$455.25,15,0.0%,,$10.68,7.05
FA,First Advantage Corp.,N/A,"1,415.0%",0,N/A,N/A,$0.00,"$2,069.57",0,N/A,,$15.89,10.07
FARO,Faro Technologies Inc.,Technology,"1,496.0%",0,N/A,N/A,$0.00,$282.78,N/A,0.0%,,$39.71,10.3
FATE,Fate Therapeutics Inc,Healthcare,501.0%,0,N/A,N/A,$0.00,$492.91,N/A,0.0%,,$37.13,4.02
FBIZ,First Business Financial Services Inc,Financial Services,"2,929.0%",0.02854442367,15.2%,10.2%,$0.84,$242.91,6,17.5%,0.6,$38.96,24.57
FBK,FB Financial Corp,Financial Services,"2,852.0%",0.01950475556,15.4%,20.1%,$0.56,"$1,334.19",11,20.8%,,$44.68,24.2
FBMS,First Bancshares Inc Miss,Financial Services,"2,604.0%",0.03093341598,22.2%,34.5%,$0.81,$808.59,13,32.1%,0.8,$35.02,22.41
FBNC,First Bancorp,Financial Services,"3,019.0%",0.03614226729,0.0%,17.1%,$1.09,"$1,237.53",10,31.7%,,$48.45,26.26
FBP,First Bancorp PR,Financial Services,"1,184.0%",0.04326268863,N/A,N/A,$0.51,"$2,128.70",7,32.8%,,$15.79,10.06
FBRT,Franklin BSP Realty Trust Inc.,N/A,"1,354.0%",0.1004234687,N/A,N/A,$1.36,"$1,114.08",21,210.7%,,$14.55,9.76
FC,Franklin Covey Co.,Industrials,"3,512.0%",0,N/A,N/A,$0.00,$486.51,25,0.0%,,$54.70,34.36
FCBC,First Community Bankshares Inc.,Financial Services,"2,888.0%",0.03919148518,7.4%,6.7%,$1.13,$555.50,11,38.0%,0.6,$38.10,22.01
FCEL,Fuelcell Energy Inc,Industrials,218.0%,0,N/A,N/A,$0.00,$886.74,N/A,0.0%,,$5.50,1.77
FCF,First Commonwealth Financial Corp.,Financial Services,"1,269.0%",0.03769483533,4.2%,6.8%,$0.48,"$1,305.68",10,34.9%,,$16.36,11.33
FCFS,FirstCash Holdings Inc,Financial Services,"9,274.0%",0.01412555837,10.0%,8.4%,$1.31,"$4,216.84",15,22.5%,0.8,$104.99,62.3
FCPT,Four Corners Property Trust Inc,Real Estate,"2,496.0%",0.05528846154,2.3%,4.3%,$1.32,"$2,172.16",22,111.8%,,$28.93,22.09
FCUV,Focus Universal Inc,Technology,145.0%,0,N/A,N/A,$0.00,$93.99,0,N/A,1.4,$7.33,1.45
FDMT,4D Molecular Therapeutics Inc,N/A,"1,820.0%",0,N/A,N/A,$0.00,$605.34,0,N/A,,$26.49,6.58
FDP,Fresh Del Monte Produce Inc,Consumer Defensive,"2,574.0%",0.02503573166,N/A,N/A,$0.64,"$1,235.52",11,27.7%,,$32.09,22.69
FEAM,5E Advanced Materials Inc,N/A,460.0%,0,N/A,N/A,$0.00,$203.09,0,N/A,,$21.12,2.47
FELE,"Franklin Electric Co., Inc.",Industrials,"9,790.0%",0.009193054137,15.4%,13.4%,$0.84,"$4,521.09",23,19.6%,0.9,$102.01,68.2
FF,Futurefuel Corp,Basic Materials,851.0%,0.02791462991,0.0%,0.0%,$0.24,$372.43,8,21.4%,,$9.72,5.65
FFBC,First Financial Bancorp,Financial Services,"2,039.0%",0.04403478376,0.0%,2.8%,$0.90,"$1,940.21",8,34.5%,0.9,$25.86,17.57
FFIC,Flushing Financial Corp.,Financial Services,"1,316.0%",0.06443214723,0.0%,1.9%,$0.85,$388.07,6,40.6%,0.8,$21.59,8.93
FFIE,Faraday Future Intelligent Electric Inc,N/A,22.7%,0,N/A,N/A,$0.00,$301.21,0,N/A,,$1.32,0.148
FFIN,"First Financial Bankshares, Inc.",Financial Services,"2,706.0%",0.02512050858,5.9%,-3.0%,$0.68,"$3,862.31",17,42.2%,,$45.82,24.71
FFWM,First Foundation Inc,Financial Services,437.0%,0.07885505111,N/A,N/A,$0.34,$246.57,0,N/A,1.2,$21.49,3.76
FGBI,First Guaranty Bancshares Inc,Financial Services,"1,240.0%",0.05036631053,0.0%,0.0%,$0.62,$132.89,0,N/A,0.7,$25.05,11.1
FGEN,FibroGen Inc,Healthcare,"1,605.0%",0,N/A,N/A,$0.00,"$1,566.20",N/A,0.0%,,$25.69,10.46
FHI,Federated Hermes Inc,Financial Services,"3,675.0%",0.02934905802,3.7%,0.7%,$1.08,"$3,289.50",14,38.1%,,$45.22,29.65
FHTX,Foghorn Therapeutics Inc,N/A,865.0%,0,N/A,N/A,$0.00,$361.78,0,N/A,,$18.12,4.51
FIBK,First Interstate BancSystem Inc.,Financial Services,"2,340.0%",0.07483169496,14.6%,8.7%,$1.75,"$2,442.54",8,63.7%,0.6,$43.89,21.03
FIGS,Figs Inc,N/A,779.0%,0,N/A,N/A,$0.00,"$1,243.39",88,0.0%,,$13.75,5.55
FISI,Financial Institutions Inc.,Financial Services,"1,638.0%",0.06950606717,3.4%,4.6%,$1.14,$251.85,5,33.6%,0.8,$26.44,13.36
FIX,"Comfort Systems USA, Inc.",Industrials,"16,057.0%",0.00413445589,42.9%,18.7%,$0.66,"$5,743.19",27,11.0%,,$165.05,79.26
FIZZ,National Beverage Corp.,Consumer Defensive,"4,917.0%",0,N/A,N/A,$0.00,"$4,590.16",33,0.0%,,$57.65,38.4
FL,Foot Locker Inc,Consumer Cyclical,"2,593.0%",0.06170458928,N/A,N/A,$1.58,"$2,435.45",10,61.1%,,$46.75,22.95
FLGT,Fulgent Genetics Inc,Healthcare,"3,704.0%",0,N/A,N/A,$0.00,"$1,100.13",N/A,0.0%,,$65.17,28.27
FLIC,First Of Long Island Corp.,Financial Services,"1,262.0%",0.06656101426,5.0%,7.0%,$0.81,$284.65,7,45.0%,,$19.38,8.79
FLL,"Full House Resorts, Inc.",Consumer Cyclical,611.0%,0,N/A,N/A,$0.00,$210.46,0,N/A,,$10.13,4.82
FLNC,Fluence Energy Inc,N/A,"2,388.0%",0,N/A,N/A,$0.00,"$2,792.30",0,N/A,,$29.55,8.11
FLNG,Flex Lng Ltd,Energy,"3,007.0%",0.0989080057,N/A,N/A,$2.97,"$1,639.43",0,N/A,,$37.97,23.51
FLR,Fluor Corporation,Industrials,"2,837.0%",0,N/A,N/A,$0.00,"$4,063.64",N/A,0.0%,,$38.20,21.68
FLWS,1-800 Flowers.com Inc.,Consumer Cyclical,759.0%,0,N/A,N/A,$0.00,$286.20,N/A,0.0%,,$13.29,5.82
FLYW,Flywire Corp,N/A,"3,126.0%",0,N/A,N/A,$0.00,"$3,403.69",0,N/A,,$32.60,16.86
FMAO,Farmers & Merchants Bancorp Inc.,Financial Services,"2,284.0%",0.03677758319,"1,580.0%",8.4%,$0.81,$311.31,0,N/A,,$34.79,17.76
FMBH,First Mid Bancshares Inc.,Financial Services,"2,533.0%",0.0363205685,N/A,N/A,$0.90,$520.00,0,N/A,0.8,$38.04,21.34
FMNB,Farmers National Banc Corp.,Financial Services,"1,238.0%",0.05262210717,6.3%,16.3%,$0.65,$463.78,0,N/A,0.8,$14.76,10.54
FN,Fabrinet,Technology,"12,416.0%",0,N/A,N/A,$0.00,"$4,506.64",19,0.0%,,$140.18,77.67
FNA,Paragon 28 Inc,N/A,"1,796.0%",0,N/A,N/A,$0.00,"$1,478.45",0,N/A,,$21.49,14.92
FNKO,Funko Inc,Consumer Cyclical,"1,025.0%",0,N/A,N/A,$0.00,$485.81,N/A,0.0%,,$27.79,7.14
FNLC,First Bancorp Inc (ME),Financial Services,"2,519.0%",0.06564592975,6.3%,3.2%,$1.65,$279.07,7,49.1%,0.6,$30.87,22.5
FOA,Finance of America Companies Inc,N/A,194.0%,0,N/A,N/A,$0.00,$169.54,0,N/A,,$2.25,1.19
FOCS,Focus Financial Partners Inc,Financial Services,"5,243.0%",0,N/A,N/A,$0.00,"$3,460.90",0,N/A,,$52.62,30.27
FOLD,Amicus Therapeutics Inc,Healthcare,"1,228.0%",0,N/A,N/A,$0.00,"$3,494.59",N/A,0.0%,,$13.84,9.1
FOR,Forestar Group Inc,Real Estate,"2,120.0%",0,N/A,N/A,$0.00,"$1,057.83",8,0.0%,,$21.83,10.28
FORG,ForgeRock Inc,N/A,"1,956.0%",0,N/A,N/A,$0.00,"$1,013.32",0,N/A,,$25.00,14.13
FORM,FormFactor Inc.,Technology,"2,993.0%",0,N/A,N/A,$0.00,"$2,308.92",104,0.0%,,$41.00,18.15
FORR,Forrester Research Inc.,Industrials,"2,889.0%",0,N/A,N/A,$0.00,$554.69,41,0.0%,,$51.04,22.62
FOSL,Fossil Group Inc,Consumer Cyclical,250.0%,0,N/A,N/A,$0.00,$131.01,N/A,0.0%,,$7.18,1.89
FOXF,Fox Factory Holding Corp,Consumer Cyclical,"9,751.0%",0,N/A,N/A,$0.00,"$4,124.96",21,0.0%,,$127.54,73.05
FPI,Farmland Partners Inc,Real Estate,"1,180.0%",0.02017855766,20.0%,-14.0%,$0.24,$612.49,0,N/A,,$14.89,9.39
FRBA,First Bank (NJ),Financial Services,"1,045.0%",0.02263075326,0.0%,14.9%,$0.24,$204.50,0,N/A,0.8,$16.35,8.48
FRBK,"Republic First Bancorp, Inc.",Financial Services,94.0%,0,N/A,N/A,$0.00,$60.03,4,0.0%,,$4.17,0.6241
FREE,Whole Earth Brands Inc,N/A,312.0%,0,N/A,N/A,$0.00,$131.81,0,N/A,,$6.74,2.09
FRG,Franchise Group Inc,Consumer Cyclical,"2,880.0%",0.08371252475,N/A,N/A,$2.41,"$1,012.97",0,N/A,,$36.00,21.57
FRME,First Merchants Corp.,Financial Services,"2,762.0%",0.04592183273,6.3%,9.1%,$1.27,"$1,648.39",7,31.9%,0.9,$43.23,23.89
FRO,Frontline Plc,Energy,"1,435.0%",0.1295860265,N/A,N/A,$1.86,"$3,194.64",5,63.3%,,$17.63,6.79
FRPH,FRP Holdings Inc,Real Estate,"5,599.0%",0,N/A,N/A,$0.00,$532.69,119,0.0%,,$63.52,52.45
FRST,Primis Financial Corp,N/A,867.0%,0.04476400936,0.0%,4.6%,$0.39,$214.02,0,N/A,0.7,$13.69,6.82
FSBC,Five Star Bancorp,Financial Services,"2,183.0%",0.02926608234,N/A,N/A,$0.64,$376.76,0,N/A,0.6,$30.58,17.74
FSLY,Fastly Inc,Technology,"1,548.0%",0,N/A,N/A,$0.00,"$1,965.96",N/A,0.0%,,$18.28,7.15
FSP,Franklin Street Properties Corp.,Real Estate,135.0%,0.02921584201,-88.9%,-35.6%,$0.04,$139.37,0,N/A,0.9,$4.38,1.13
FSR,Fisker Inc,N/A,509.0%,0,N/A,N/A,$0.00,"$1,007.30",0,N/A,,$11.41,4.26
FSS,Federal Signal Corp.,Industrials,"6,199.0%",0.005952794756,11.1%,4.6%,$0.37,"$3,774.46",30,17.7%,,$63.32,33.74
FTCI,FTC Solar Inc,N/A,254.0%,0,N/A,N/A,$0.00,$283.70,0,N/A,,$5.66,1.78
FTDR,Frontdoor Inc.,Consumer Cyclical,"3,093.0%",0,N/A,N/A,$0.00,"$2,527.79",28,0.0%,,$33.88,19.06
FUBO,fuboTV Inc,N/A,188.0%,0,N/A,N/A,$0.00,$548.68,0,N/A,,$8.14,0.96
FUL,H.B. Fuller Company,Basic Materials,"6,315.0%",0.01298495645,N/A,N/A,$0.77,"$3,399.28",21,26.1%,,$80.95,56.73
FULC,Fulcrum Therapeutics Inc,Healthcare,314.0%,0,N/A,N/A,$0.00,$193.92,0,N/A,,$15.00,2.25
FULT,Fulton Financial Corp.,Financial Services,"1,200.0%",0.05,0.0%,2.9%,$0.59,"$1,984.75",7,35.1%,,$18.48,9.64
FVCB,FVCBankcorp Inc,Financial Services,"1,050.0%",0,N/A,N/A,$0.00,$185.91,0,N/A,,$16.74,8.3
FWRD,Forward Air Corp.,Industrials,"9,947.0%",0.009599372271,0.0%,9.9%,$0.95,"$2,582.11",14,13.7%,1.0,$116.47,83.87
FWRG,First Watch Restaurant Group Inc,N/A,"1,610.0%",0,N/A,N/A,$0.00,$957.08,0,N/A,,$18.95,12.75
FXLV,F45 Training Holdings Inc,N/A,61.8%,0,N/A,N/A,$0.00,$59.41,0,N/A,,$5.02,0.6132
GABC,German American Bancorp Inc,Financial Services,"2,776.0%",0.03396997045,8.7%,10.8%,$0.94,$820.95,9,29.7%,0.6,$39.84,25.56
GAMB,Gambling.com Group Ltd,N/A,987.0%,0,N/A,N/A,$0.00,$417.66,0,N/A,,$11.49,6.62
GATX,GATX Corp.,Industrials,"12,232.0%",0.01798561151,5.8%,4.6%,$2.13,"$4,317.90",27,48.4%,,$128.25,83.78
GBCI,"Glacier Bancorp, Inc.",Financial Services,"3,066.0%",0.04215492844,0.0%,4.1%,$1.29,"$3,399.28",11,48.2%,,$58.07,26.77
GBIO,Generation Bio Co,N/A,567.0%,0,N/A,N/A,$0.00,$372.38,0,N/A,,$8.72,3.15
GBX,"Greenbrier Cos., Inc.",Industrials,"3,141.0%",0.03392043057,0.0%,1.6%,$1.07,"$1,002.70",25,89.5%,,$38.78,23.18
GCBC,Greene County Bancorp Inc,Financial Services,"2,945.0%",0.004141866641,-46.2%,-6.9%,$0.12,$501.44,0,N/A,,$32.74,5.42
GCI,Gannett Co Inc.,Communication Services,210.0%,0,N/A,N/A,$0.00,$312.91,N/A,0.0%,,$3.24,1.25
GCMG,GCM Grosvenor Inc,N/A,733.0%,0.05677240096,N/A,N/A,$0.42,$306.92,0,N/A,0.8,$9.06,6.13
GCO,Genesco Inc.,Consumer Cyclical,"2,393.0%",0,N/A,N/A,$0.00,$300.64,6,0.0%,,$66.42,17.31
GDEN,Golden Entertainment Inc,Consumer Cyclical,"4,065.0%",0,N/A,N/A,$0.00,"$1,172.23",20,0.0%,,$46.15,32.53
GDOT,Green Dot Corp.,Financial Services,"1,816.0%",0,N/A,N/A,$0.00,$945.04,15,0.0%,,$28.91,14.96
GDYN,Grid Dynamics Holdings Inc,Technology,883.0%,0,N/A,N/A,$0.00,$661.34,0,N/A,,$24.27,8
GEF,Greif Inc,Consumer Cyclical,"6,655.0%",0.03005259204,8.7%,2.6%,$1.98,"$3,307.45",7,26.4%,,$72.81,56.2
GEFB,Greif Inc,N/A,"5,838.0%",0,N/A,N/A,$2.70,"$2,827.62",0,N/A,0.8,NaN,NaN
GEO,"Geo Group, Inc.",Real Estate,703.0%,0,N/A,N/A,$0.00,$885.95,7,0.0%,,$12.44,6.08
GERN,Geron Corp.,Healthcare,316.0%,0,N/A,N/A,$0.00,"$1,607.70",N/A,0.0%,,$3.84,1.34
GES,Guess Inc.,Consumer Cyclical,"1,970.0%",0.04856681355,N/A,N/A,$0.96,"$1,054.61",8,48.6%,,$23.48,13.73
GEVO,Gevo Inc,Basic Materials,133.0%,0,N/A,N/A,$0.00,$315.54,0,N/A,,$3.73,1.01
GFF,Griffon Corp.,Industrials,"3,745.0%",0.01055208493,38.9%,11.5%,$0.40,"$2,142.34",N/A,N/A,,$40.75,22.92
GHC,Graham Holdings Co.,Consumer Defensive,"56,790.0%",0.01132989304,4.4%,4.4%,$6.43,"$2,145.96",92,132.4%,,$679.80,521.33
GIC,Global Industrial Co,N/A,"2,717.0%",0.02756577107,11.1%,10.8%,$0.75,"$1,032.92",15,40.7%,,$36.01,20.35
GIII,G-III Apparel Group Ltd.,Consumer Cyclical,"1,937.0%",0,N/A,N/A,$0.00,$883.15,N/A,0.0%,,$25.23,11.6
GKOS,Glaukos Corporation,Healthcare,"6,747.0%",0,N/A,N/A,$0.00,"$3,252.64",N/A,0.0%,,$70.05,40.45
GLDD,Great Lakes Dredge & Dock Corporation,Industrials,759.0%,0,N/A,N/A,$0.00,$504.10,N/A,0.0%,,$13.87,4.75
GLNG,Golar Lng,Energy,"2,028.0%",0.01232741617,N/A,N/A,$0.25,"$2,178.69",3,3.4%,0.8,$29.97,19.36
GLRE,Greenlight Capital Re Ltd,Financial Services,982.0%,0,N/A,N/A,$0.00,$284.86,8,0.0%,,$10.69,6.96
GLT,Glatfelter Corporation,Basic Materials,301.0%,0.0465116281,N/A,N/A,$0.14,$135.25,N/A,N/A,,$7.36,2.08
GLUE,Monte Rosa Therapeutics Inc,N/A,680.0%,0,N/A,N/A,$0.00,$335.81,0,N/A,,$12.62,4.4
GMRE,Global Medical REIT Inc,Real Estate,895.0%,0.0938547486,0.0%,1.0%,$0.81,$586.49,0,N/A,,$11.26,6.54
GMS,GMS Inc,Industrials,"6,783.0%",0,N/A,N/A,$0.00,"$2,765.68",8,0.0%,,$69.96,38.31
GNK,Genco Shipping & Trading Limited,Industrials,"1,398.0%",0.1326728915,N/A,N/A,$1.85,$594.26,0,N/A,,$19.13,10.92
GNL,Global Net Lease Inc,Real Estate,951.0%,0.1682439537,0.0%,17.6%,$1.53,$987.58,N/A,N/A,,$14.79,8.84
